date,asset,score,raw_score,confidence,status,source,mentions,signal_tweets,kols,bullish,bearish
2026-07-14,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-15,energy,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-15,metals,33.3,100.0,0.333,signal,structured_views,3,1,3,1,0
2026-07-15,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-15,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-16,energy,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-07-16,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-16,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-16,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-17,energy,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-07-17,metals,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-07-17,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-17,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-18,energy,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-18,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-18,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-18,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-19,energy,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-19,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-19,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-19,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-20,energy,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-07-20,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-20,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-20,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-21,energy,-33.3,-100.0,0.333,signal,structured_views,2,1,2,0,1
2026-07-21,metals,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-07-21,grains,33.3,100.0,0.333,signal,structured_views,1,1,1,1,0
2026-07-21,softs,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-22,energy,,,0.0,no_direction,structured_views,1,0,1,0,0
2026-07-22,metals,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-22,grains,,,0.0,no_data,structured_views,0,0,0,0,0
2026-07-22,softs,,,0.0,no_data,structured_views,0,0,0,0,0
